NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-14;Home;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-13;Altres;N/A;--;52;447;20;5;2;100;19;0
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 15 i 64;No;709;9468;3617;32;5;308;71;1
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 15 i 64;Si;7;61;7;0;0;5;1;0
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 65 i 74;No;74;768;303;13;4;186;41;1
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 65 i 74;Si;7;77;5;0;0;7;0;0
CATALUNYA;CATALUNYA;2020-11-13;Dona;Majors de 74;No;108;1025;317;31;5;367;22;14
CATALUNYA;CATALUNYA;2020-11-13;Dona;Majors de 74;Si;63;1055;104;2;0;53;0;10
CATALUNYA;CATALUNYA;2020-11-13;Dona;Menors de 15;No;161;2701;900;1;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-13;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-13;Home;Entre 15 i 64;No;651;5533;2696;52;15;569;175;2
CATALUNYA;CATALUNYA;2020-11-13;Home;Entre 15 i 64;Si;7;138;14;2;0;18;1;1
CATALUNYA;CATALUNYA;2020-11-13;Home;Entre 65 i 74;No;67;742;212;22;4;330;105;5
CATALUNYA;CATALUNYA;2020-11-13;Home;Entre 65 i 74;Si;6;95;9;0;0;11;1;2
CATALUNYA;CATALUNYA;2020-11-13;Home;Majors de 74;No;66;807;229;27;6;451;65;14
CATALUNYA;CATALUNYA;2020-11-13;Home;Majors de 74;Si;14;325;29;9;0;47;0;7
CATALUNYA;CATALUNYA;2020-11-13;Home;Menors de 15;No;195;3026;999;1;0;5;0;0
CATALUNYA;CATALUNYA;2020-11-13;Home;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-12;Altres;N/A;--;52;406;34;4;0;104;20;0
CATALUNYA;CATALUNYA;2020-11-12;Dona;Entre 15 i 64;No;820;8823;3728;32;10;331;73;1
CATALUNYA;CATALUNYA;2020-11-12;Dona;Entre 15 i 64;Si;7;118;11;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-11-12;Dona;Entre 65 i 74;No;85;604;293;16;3;195;41;7
